tag,algo,repeat,fold,model__estimator__depth,model__estimator__iterations,model__estimator__l2_leaf_reg,model__estimator__learning_rate,model__n_features_to_select,model__estimator__class_weight,model__estimator__max_depth,model__estimator__max_features,model__estimator__min_samples_leaf,model__estimator__colsample_bytree,model__estimator__min_child_weight,model__estimator__n_estimators,model__estimator__reg_lambda,model__estimator__subsample,model__C,model__l1_ratio
L4,xgb,2,4,,,,0.17665407192101146,18.0,,3.0,,,0.7938741445549429,1.0976200822172966,108.0,5.341085476860372,0.9310804295132084,,
L5,xgb,0,0,,,,0.021044010785805558,12.0,,2.0,,,0.7842169744343243,1.4114804498181488,144.0,4.8678286003989735,0.9774992314058497,,
L5,xgb,0,1,,,,0.2752922411234819,6.0,,4.0,,,0.9003722843377684,1.2382285364939403,97.0,12.676460341412865,0.957842665401539,,
L5,xgb,0,2,,,,0.1677474003446763,18.0,,3.0,,,0.5922199328234576,3.5172830560296924,107.0,0.6707595065187708,0.8020984360486816,,
L5,xgb,0,3,,,,0.03913535297780827,18.0,,3.0,,,0.5203153685005116,2.759369398542878,84.0,0.8547944546726949,0.7812689204488517,,
L5,xgb,0,4,,,,0.10082058797307215,6.0,,3.0,,,0.5819211207023494,4.097560167205705,96.0,0.5884601611448732,0.9826611870856944,,
L5,xgb,1,0,,,,0.07269868532961692,12.0,,2.0,,,0.8292811066991898,2.185937213742496,92.0,4.100778511936923,0.9318357379290637,,
L5,xgb,1,1,,,,0.040998591633105826,6.0,,3.0,,,0.6531160897744027,1.6892116826420598,144.0,0.5445017767631702,0.6783127660335946,,
L5,xgb,1,2,,,,0.06972551830903656,12.0,,1.0,,,0.564494144330935,1.4249193275509136,100.0,0.9823268120411601,0.767165085336826,,
L5,xgb,1,3,,,,0.07955198368585163,12.0,,3.0,,,0.7022195131009241,4.13747063206003,106.0,2.7848822718987964,0.7735894817652548,,
