tag,algo,imputer,repeat,fold,auc,inner_auc,n_train,n_test,seconds,kind
L4,cat,median,0,4,0.9296296296296297,0.8714135401635402,152,37,12.844489097595215,cv
L4,cat,median,1,0,0.8464285714285714,0.8765993265993266,151,38,13.704200983047485,cv
L4,cat,median,1,1,0.9259259259259258,0.8695646945646945,151,38,12.798550605773926,cv
L4,cat,median,1,2,0.9259259259259259,0.8883597883597883,151,38,13.844030141830444,cv
L4,cat,median,1,3,0.9427609427609428,0.8444053631553632,151,38,10.426587104797363,cv
L4,cat,median,1,4,0.788888888888889,0.9137295574795574,152,37,13.901011943817139,cv
L4,cat,median,2,0,0.8607142857142858,0.9333333333333333,151,38,11.438644647598267,cv
L4,cat,median,2,1,0.7811447811447811,0.9199254449254449,151,38,12.290050745010376,cv
L4,cat,median,2,2,0.9562289562289562,0.8920244107744106,151,38,11.549948692321777,cv
L4,cat,median,2,3,0.9797979797979798,0.852982202982203,151,38,12.413881778717041,cv
L4,cat,median,2,4,0.9185185185185185,0.9007966570466571,152,37,12.306705474853516,cv
L5,cat,median,0,0,0.9357142857142857,0.8973905723905724,151,38,16.252860069274902,cv
L5,cat,median,0,1,0.9090909090909091,0.9061417748917748,151,38,15.361160278320312,cv
L5,cat,median,0,2,0.8282828282828283,0.9013257575757576,151,38,13.646683931350708,cv
L5,cat,median,0,3,0.8821548821548821,0.8789111351611352,151,38,17.812931537628174,cv
L5,cat,median,0,4,0.9518518518518518,0.8775102212602213,152,37,15.530858755111694,cv
L5,cat,median,1,0,0.875,0.8746632996632996,151,38,15.6966233253479,cv
L5,cat,median,1,1,0.8956228956228957,0.8672468734968735,151,38,16.35563611984253,cv
L5,cat,median,1,2,0.9292929292929293,0.8915253727753728,151,38,18.749043941497803,cv
L5,cat,median,1,3,0.9562289562289562,0.8396043771043772,151,38,14.198404788970947,cv
L5,cat,median,1,4,0.7777777777777778,0.9090367965367965,152,37,17.40104866027832,cv
L5,cat,median,2,0,0.8785714285714284,0.9386363636363637,151,38,15.318502187728882,cv
L5,cat,median,2,1,0.7643097643097644,0.9183441558441557,151,38,15.535033464431763,cv
L5,cat,median,2,2,0.9124579124579124,0.89736050986051,151,38,15.422566652297974,cv
L5,cat,median,2,3,0.9730639730639731,0.8574404761904763,151,38,14.33796739578247,cv
L5,cat,median,2,4,0.9333333333333333,0.8880681818181817,152,37,15.539193868637085,cv
L4r,cat,median,0,0,0.9142857142857143,0.9326599326599325,151,38,15.687570333480835,cv
L4r,cat,median,0,1,0.9898989898989898,0.9225919913419913,151,38,15.277126789093018,cv
L4r,cat,median,0,2,0.8484848484848484,0.9384078884078884,151,38,13.068875312805176,cv
L4r,cat,median,0,3,0.9427609427609427,0.9088203463203464,151,38,17.796080589294434,cv
L4r,cat,median,0,4,0.9333333333333333,0.9114357864357865,152,37,14.490729093551636,cv
L4r,cat,median,1,0,0.9178571428571428,0.9143097643097643,151,38,14.377870321273804,cv
L4r,cat,median,1,1,0.9764309764309764,0.8871272246272246,151,38,14.48724889755249,cv
L4r,cat,median,1,2,0.936026936026936,0.9310966810966811,151,38,17.27693796157837,cv
L4r,cat,median,1,3,0.9898989898989898,0.892989417989418,151,38,12.520751237869263,cv
L4r,cat,median,1,4,0.7222222222222222,0.9535233285233286,152,37,16.718415021896362,cv
L4r,cat,median,2,0,0.9035714285714286,0.9427609427609427,151,38,12.525169610977173,cv
L4r,cat,median,2,1,0.8484848484848485,0.9459385521885522,151,38,13.45640516281128,cv
L4r,cat,median,2,2,0.9663299663299663,0.9026184463684463,151,38,14.166242122650146,cv
L4r,cat,median,2,3,0.9562289562289562,0.9011964886964886,151,38,14.000345230102539,cv
L4r,cat,median,2,4,0.9222222222222222,0.9183712121212121,152,37,14.541992664337158,cv
L5,cat,mean,0,0,0.9285714285714286,0.8914141414141413,151,38,14.39592170715332,sens
L5,cat,mean,0,1,0.9057239057239057,0.9101791726791726,151,38,14.667808532714844,sens
L5,cat,mean,0,2,0.8013468013468013,0.908080808080808,151,38,11.916281461715698,sens
